log10_target,solved,evaluations,fid,iid,rep,dim,param_id
2.0,True,25,20,101,1,3,2L
1.8,True,25,20,101,1,3,2L
1.6,True,25,20,101,1,3,2L
1.4,True,25,20,101,1,3,2L
1.2,True,31,20,101,1,3,2L
1.0,True,31,20,101,1,3,2L
0.8,True,31,20,101,1,3,2L
0.6,True,67,20,101,1,3,2L
0.4,True,101,20,101,1,3,2L
0.2,True,369,20,101,1,3,2L
0.0,True,369,20,101,1,3,2L
-0.2,False,1428,20,101,1,3,2L
-0.4,False,1428,20,101,1,3,2L
-0.6,False,1428,20,101,1,3,2L
-0.8,False,1428,20,101,1,3,2L
-1.0,False,1428,20,101,1,3,2L
-1.2,False,1428,20,101,1,3,2L
-1.4,False,1428,20,101,1,3,2L
-1.6,False,1428,20,101,1,3,2L
-1.8,False,1428,20,101,1,3,2L
-2.0,False,1428,20,101,1,3,2L
-2.2,False,1428,20,101,1,3,2L
-2.4,False,1428,20,101,1,3,2L
-2.6,False,1428,20,101,1,3,2L
-2.8,False,1428,20,101,1,3,2L
-3.0,False,1428,20,101,1,3,2L
-3.2,False,1428,20,101,1,3,2L
-3.4,False,1428,20,101,1,3,2L
-3.6,False,1428,20,101,1,3,2L
-3.8,False,1428,20,101,1,3,2L
-4.0,False,1428,20,101,1,3,2L
-4.2,False,1428,20,101,1,3,2L
-4.4,False,1428,20,101,1,3,2L
-4.6,False,1428,20,101,1,3,2L
-4.8,False,1428,20,101,1,3,2L
-5.0,False,1428,20,101,1,3,2L
-5.2,False,1428,20,101,1,3,2L
-5.4,False,1428,20,101,1,3,2L
-5.6,False,1428,20,101,1,3,2L
-5.8,False,1428,20,101,1,3,2L
-6.0,False,1428,20,101,1,3,2L
-6.2,False,1428,20,101,1,3,2L
-6.4,False,1428,20,101,1,3,2L
-6.6,False,1428,20,101,1,3,2L
-6.8,False,1428,20,101,1,3,2L
-7.0,False,1428,20,101,1,3,2L
-7.2,False,1428,20,101,1,3,2L
-7.4,False,1428,20,101,1,3,2L
-7.6,False,1428,20,101,1,3,2L
-7.8,False,1428,20,101,1,3,2L
-8.0,False,1428,20,101,1,3,2L
2.0,True,47,20,102,1,3,2L
1.8,True,47,20,102,1,3,2L
1.6,True,56,20,102,1,3,2L
1.4,True,56,20,102,1,3,2L
1.2,True,56,20,102,1,3,2L
1.0,True,56,20,102,1,3,2L
0.8,True,56,20,102,1,3,2L
0.6,True,56,20,102,1,3,2L
0.4,True,182,20,102,1,3,2L
0.2,True,285,20,102,1,3,2L
0.0,False,1638,20,102,1,3,2L
-0.2,False,1638,20,102,1,3,2L
-0.4,False,1638,20,102,1,3,2L
-0.6,False,1638,20,102,1,3,2L
-0.8,False,1638,20,102,1,3,2L
-1.0,False,1638,20,102,1,3,2L
-1.2,False,1638,20,102,1,3,2L
-1.4,False,1638,20,102,1,3,2L
-1.6,False,1638,20,102,1,3,2L
-1.8,False,1638,20,102,1,3,2L
-2.0,False,1638,20,102,1,3,2L
-2.2,False,1638,20,102,1,3,2L
-2.4,False,1638,20,102,1,3,2L
-2.6,False,1638,20,102,1,3,2L
-2.8,False,1638,20,102,1,3,2L
-3.0,False,1638,20,102,1,3,2L
-3.2,False,1638,20,102,1,3,2L
-3.4,False,1638,20,102,1,3,2L
-3.6,False,1638,20,102,1,3,2L
-3.8,False,1638,20,102,1,3,2L
-4.0,False,1638,20,102,1,3,2L
-4.2,False,1638,20,102,1,3,2L
-4.4,False,1638,20,102,1,3,2L
-4.6,False,1638,20,102,1,3,2L
-4.8,False,1638,20,102,1,3,2L
-5.0,False,1638,20,102,1,3,2L
-5.2,False,1638,20,102,1,3,2L
-5.4,False,1638,20,102,1,3,2L
-5.6,False,1638,20,102,1,3,2L
-5.8,False,1638,20,102,1,3,2L
-6.0,False,1638,20,102,1,3,2L
-6.2,False,1638,20,102,1,3,2L
-6.4,False,1638,20,102,1,3,2L
-6.6,False,1638,20,102,1,3,2L
-6.8,False,1638,20,102,1,3,2L
-7.0,False,1638,20,102,1,3,2L
-7.2,False,1638,20,102,1,3,2L
-7.4,False,1638,20,102,1,3,2L
-7.6,False,1638,20,102,1,3,2L
-7.8,False,1638,20,102,1,3,2L
-8.0,False,1638,20,102,1,3,2L
2.0,True,36,20,103,1,3,2L
1.8,True,36,20,103,1,3,2L
1.6,True,95,20,103,1,3,2L
1.4,True,95,20,103,1,3,2L
1.2,True,95,20,103,1,3,2L
1.0,True,95,20,103,1,3,2L
0.8,True,95,20,103,1,3,2L
0.6,True,95,20,103,1,3,2L
0.4,True,121,20,103,1,3,2L
0.2,True,121,20,103,1,3,2L
0.0,False,1428,20,103,1,3,2L
-0.2,False,1428,20,103,1,3,2L
-0.4,False,1428,20,103,1,3,2L
-0.6,False,1428,20,103,1,3,2L
-0.8,False,1428,20,103,1,3,2L
-1.0,False,1428,20,103,1,3,2L
-1.2,False,1428,20,103,1,3,2L
-1.4,False,1428,20,103,1,3,2L
-1.6,False,1428,20,103,1,3,2L
-1.8,False,1428,20,103,1,3,2L
-2.0,False,1428,20,103,1,3,2L
-2.2,False,1428,20,103,1,3,2L
-2.4,False,1428,20,103,1,3,2L
-2.6,False,1428,20,103,1,3,2L
-2.8,False,1428,20,103,1,3,2L
-3.0,False,1428,20,103,1,3,2L
-3.2,False,1428,20,103,1,3,2L
-3.4,False,1428,20,103,1,3,2L
-3.6,False,1428,20,103,1,3,2L
-3.8,False,1428,20,103,1,3,2L
-4.0,False,1428,20,103,1,3,2L
-4.2,False,1428,20,103,1,3,2L
-4.4,False,1428,20,103,1,3,2L
-4.6,False,1428,20,103,1,3,2L
-4.8,False,1428,20,103,1,3,2L
-5.0,False,1428,20,103,1,3,2L
-5.2,False,1428,20,103,1,3,2L
-5.4,False,1428,20,103,1,3,2L
-5.6,False,1428,20,103,1,3,2L
-5.8,False,1428,20,103,1,3,2L
-6.0,False,1428,20,103,1,3,2L
-6.2,False,1428,20,103,1,3,2L
-6.4,False,1428,20,103,1,3,2L
-6.6,False,1428,20,103,1,3,2L
-6.8,False,1428,20,103,1,3,2L
-7.0,False,1428,20,103,1,3,2L
-7.2,False,1428,20,103,1,3,2L
-7.4,False,1428,20,103,1,3,2L
-7.6,False,1428,20,103,1,3,2L
-7.8,False,1428,20,103,1,3,2L
-8.0,False,1428,20,103,1,3,2L
2.0,True,13,20,104,1,3,2L
1.8,True,13,20,104,1,3,2L
1.6,True,13,20,104,1,3,2L
1.4,True,13,20,104,1,3,2L
1.2,True,13,20,104,1,3,2L
1.0,True,18,20,104,1,3,2L
0.8,True,41,20,104,1,3,2L
0.6,True,41,20,104,1,3,2L
0.4,True,60,20,104,1,3,2L
0.2,True,60,20,104,1,3,2L
0.0,True,599,20,104,1,3,2L
-0.2,False,1820,20,104,1,3,2L
-0.4,False,1820,20,104,1,3,2L
-0.6,False,1820,20,104,1,3,2L
