log10_target,solved,evaluations,fid,iid,rep,dim,param_id
2.0,True,1,24,101,1,5,16L
1.8,True,26,24,101,1,5,16L
1.6,True,210,24,101,1,5,16L
1.4,True,738,24,101,1,5,16L
1.2,True,1025,24,101,1,5,16L
1.0,True,1083,24,101,1,5,16L
0.8,True,3491,24,101,1,5,16L
0.6,True,5557,24,101,1,5,16L
0.4,True,8074,24,101,1,5,16L
0.2,True,8195,24,101,1,5,16L
0.0,True,10713,24,101,1,5,16L
-0.2,True,11315,24,101,1,5,16L
-0.4,True,11525,24,101,1,5,16L
-0.6,True,11525,24,101,1,5,16L
-0.8,False,16896,24,101,1,5,16L
-1.0,False,16896,24,101,1,5,16L
-1.2,False,16896,24,101,1,5,16L
-1.4,False,16896,24,101,1,5,16L
-1.6,False,16896,24,101,1,5,16L
-1.8,False,16896,24,101,1,5,16L
-2.0,False,16896,24,101,1,5,16L
-2.2,False,16896,24,101,1,5,16L
-2.4,False,16896,24,101,1,5,16L
-2.6,False,16896,24,101,1,5,16L
-2.8,False,16896,24,101,1,5,16L
-3.0,False,16896,24,101,1,5,16L
-3.2,False,16896,24,101,1,5,16L
-3.4,False,16896,24,101,1,5,16L
-3.6,False,16896,24,101,1,5,16L
-3.8,False,16896,24,101,1,5,16L
-4.0,False,16896,24,101,1,5,16L
-4.2,False,16896,24,101,1,5,16L
-4.4,False,16896,24,101,1,5,16L
-4.6,False,16896,24,101,1,5,16L
-4.8,False,16896,24,101,1,5,16L
-5.0,False,16896,24,101,1,5,16L
-5.2,False,16896,24,101,1,5,16L
-5.4,False,16896,24,101,1,5,16L
-5.6,False,16896,24,101,1,5,16L
-5.8,False,16896,24,101,1,5,16L
-6.0,False,16896,24,101,1,5,16L
-6.2,False,16896,24,101,1,5,16L
-6.4,False,16896,24,101,1,5,16L
-6.6,False,16896,24,101,1,5,16L
-6.8,False,16896,24,101,1,5,16L
-7.0,False,16896,24,101,1,5,16L
-7.2,False,16896,24,101,1,5,16L
-7.4,False,16896,24,101,1,5,16L
-7.6,False,16896,24,101,1,5,16L
-7.8,False,16896,24,101,1,5,16L
-8.0,False,16896,24,101,1,5,16L
2.0,True,28,24,102,1,5,16L
1.8,True,41,24,102,1,5,16L
1.6,True,149,24,102,1,5,16L
1.4,True,1125,24,102,1,5,16L
1.2,True,1809,24,102,1,5,16L
1.0,True,4055,24,102,1,5,16L
0.8,True,10198,24,102,1,5,16L
0.6,False,33920,24,102,1,5,16L
