log10_target,solved,evaluations,fid,iid,rep,dim,param_id
2.0,True,1,24,101,1,5,2L
1.8,True,19,24,101,1,5,2L
1.6,True,97,24,101,1,5,2L
1.4,True,302,24,101,1,5,2L
1.2,True,303,24,101,1,5,2L
1.0,True,1252,24,101,1,5,2L
0.8,True,1256,24,101,1,5,2L
0.6,True,1603,24,101,1,5,2L
0.4,False,3488,24,101,1,5,2L
0.2,False,3488,24,101,1,5,2L
0.0,False,3488,24,101,1,5,2L
-0.2,False,3488,24,101,1,5,2L
-0.4,False,3488,24,101,1,5,2L
-0.6,False,3488,24,101,1,5,2L
-0.8,False,3488,24,101,1,5,2L
-1.0,False,3488,24,101,1,5,2L
-1.2,False,3488,24,101,1,5,2L
-1.4,False,3488,24,101,1,5,2L
-1.6,False,3488,24,101,1,5,2L
-1.8,False,3488,24,101,1,5,2L
-2.0,False,3488,24,101,1,5,2L
-2.2,False,3488,24,101,1,5,2L
-2.4,False,3488,24,101,1,5,2L
-2.6,False,3488,24,101,1,5,2L
-2.8,False,3488,24,101,1,5,2L
-3.0,False,3488,24,101,1,5,2L
-3.2,False,3488,24,101,1,5,2L
-3.4,False,3488,24,101,1,5,2L
-3.6,False,3488,24,101,1,5,2L
-3.8,False,3488,24,101,1,5,2L
-4.0,False,3488,24,101,1,5,2L
-4.2,False,3488,24,101,1,5,2L
-4.4,False,3488,24,101,1,5,2L
-4.6,False,3488,24,101,1,5,2L
-4.8,False,3488,24,101,1,5,2L
-5.0,False,3488,24,101,1,5,2L
-5.2,False,3488,24,101,1,5,2L
-5.4,False,3488,24,101,1,5,2L
-5.6,False,3488,24,101,1,5,2L
-5.8,False,3488,24,101,1,5,2L
-6.0,False,3488,24,101,1,5,2L
-6.2,False,3488,24,101,1,5,2L
-6.4,False,3488,24,101,1,5,2L
-6.6,False,3488,24,101,1,5,2L
-6.8,False,3488,24,101,1,5,2L
-7.0,False,3488,24,101,1,5,2L
-7.2,False,3488,24,101,1,5,2L
-7.4,False,3488,24,101,1,5,2L
-7.6,False,3488,24,101,1,5,2L
-7.8,False,3488,24,101,1,5,2L
