log10_target,solved,evaluations,fid,iid,rep,dim,param_id
2.0,True,2,19,101,1,5,4L
1.8,True,2,19,101,1,5,4L
1.6,True,2,19,101,1,5,4L
1.4,True,5,19,101,1,5,4L
1.2,True,45,19,101,1,5,4L
1.0,True,53,19,101,1,5,4L
0.8,True,59,19,101,1,5,4L
0.6,True,168,19,101,1,5,4L
0.4,True,632,19,101,1,5,4L
0.2,True,2530,19,101,1,5,4L
0.0,True,3501,19,101,1,5,4L
-0.2,True,6574,19,101,1,5,4L
-0.4,True,8621,19,101,1,5,4L
-0.6,False,21312,19,101,1,5,4L
-0.8,False,21312,19,101,1,5,4L
-1.0,False,21312,19,101,1,5,4L
-1.2,False,21312,19,101,1,5,4L
-1.4,False,21312,19,101,1,5,4L
-1.6,False,21312,19,101,1,5,4L
-1.8,False,21312,19,101,1,5,4L
-2.0,False,21312,19,101,1,5,4L
-2.2,False,21312,19,101,1,5,4L
-2.4,False,21312,19,101,1,5,4L
-2.6,False,21312,19,101,1,5,4L
-2.8,False,21312,19,101,1,5,4L
-3.0,False,21312,19,101,1,5,4L
-3.2,False,21312,19,101,1,5,4L
-3.4,False,21312,19,101,1,5,4L
-3.6,False,21312,19,101,1,5,4L
-3.8,False,21312,19,101,1,5,4L
-4.0,False,21312,19,101,1,5,4L
-4.2,False,21312,19,101,1,5,4L
-4.4,False,21312,19,101,1,5,4L
-4.6,False,21312,19,101,1,5,4L
-4.8,False,21312,19,101,1,5,4L
-5.0,False,21312,19,101,1,5,4L
-5.2,False,21312,19,101,1,5,4L
-5.4,False,21312,19,101,1,5,4L
-5.6,False,21312,19,101,1,5,4L
-5.8,False,21312,19,101,1,5,4L
-6.0,False,21312,19,101,1,5,4L
-6.2,False,21312,19,101,1,5,4L
-6.4,False,21312,19,101,1,5,4L
-6.6,False,21312,19,101,1,5,4L
-6.8,False,21312,19,101,1,5,4L
-7.0,False,21312,19,101,1,5,4L
-7.2,False,21312,19,101,1,5,4L
-7.4,False,21312,19,101,1,5,4L
-7.6,False,21312,19,101,1,5,4L
-7.8,False,21312,19,101,1,5,4L
-8.0,False,21312,19,101,1,5,4L
2.0,True,1,19,102,1,5,4L
1.8,True,1,19,102,1,5,4L
1.6,True,2,19,102,1,5,4L
1.4,True,2,19,102,1,5,4L
1.2,True,2,19,102,1,5,4L
1.0,True,47,19,102,1,5,4L
0.8,True,137,19,102,1,5,4L
0.6,True,232,19,102,1,5,4L
0.4,True,248,19,102,1,5,4L
0.2,True,659,19,102,1,5,4L
0.0,True,659,19,102,1,5,4L
-0.2,True,1147,19,102,1,5,4L
-0.4,True,1147,19,102,1,5,4L
-0.6,True,2610,19,102,1,5,4L
-0.8,True,3442,19,102,1,5,4L
-1.0,False,12448,19,102,1,5,4L
-1.2,False,12448,19,102,1,5,4L
-1.4,False,12448,19,102,1,5,4L
-1.6,False,12448,19,102,1,5,4L
-1.8,False,12448,19,102,1,5,4L
-2.0,False,12448,19,102,1,5,4L
-2.2,False,12448,19,102,1,5,4L
-2.4,False,12448,19,102,1,5,4L
-2.6,False,12448,19,102,1,5,4L
-2.8,False,12448,19,102,1,5,4L
-3.0,False,12448,19,102,1,5,4L
-3.2,False,12448,19,102,1,5,4L
-3.4,False,12448,19,102,1,5,4L
